epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,44667.7,1.04364,0.4198,0.9601,0.99295,0.98937,0.99395,0.75092,0.96951,0.33118,0.95381,0.006733,0.006733,0.006733
167,44937,1.03963,0.41801,0.95958,0.99289,0.98932,0.99389,0.75127,0.96846,0.33094,0.95356,0.0067132,0.0067132,0.0067132
168,45206.3,1.04423,0.41879,0.95933,0.99322,0.98919,0.99395,0.7517,0.96731,0.33069,0.95319,0.0066934,0.0066934,0.0066934
169,45475.4,1.04229,0.41891,0.96003,0.99292,0.98951,0.99398,0.75168,0.96692,0.3306,0.953,0.0066736,0.0066736,0.0066736
170,45744.7,1.03969,0.4165,0.9579,0.99327,0.98968,0.99401,0.75213,0.96641,0.33045,0.95281,0.0066538,0.0066538,0.0066538
171,46013.8,1.03999,0.41797,0.95819,0.99327,0.98963,0.994,0.7517,0.96588,0.33066,0.95258,0.006634,0.006634,0.006634
172,46282.8,1.03421,0.41687,0.95784,0.99304,0.98957,0.99403,0.75188,0.96537,0.3305,0.95239,0.0066142,0.0066142,0.0066142
173,46551.9,1.03527,0.41728,0.95848,0.99311,0.98953,0.994,0.75213,0.96495,0.33026,0.95234,0.0065944,0.0065944,0.0065944
174,46821.2,1.03914,0.41743,0.95964,0.99314,0.98951,0.99402,0.75219,0.96451,0.33027,0.95216,0.0065746,0.0065746,0.0065746
175,47090.5,1.0332,0.41642,0.95611,0.99316,0.98944,0.994,0.75219,0.96457,0.33038,0.95212,0.0065548,0.0065548,0.0065548
176,47359.6,1.03808,0.4169,0.95812,0.99292,0.98962,0.99402,0.75171,0.964,0.3302,0.95187,0.006535,0.006535,0.006535
177,47628.9,1.03707,0.4166,0.95803,0.99296,0.98957,0.99405,0.752,0.96306,0.32998,0.95166,0.0065152,0.0065152,0.0065152
178,47898.3,1.03318,0.41584,0.95596,0.99276,0.99005,0.99404,0.75233,0.96215,0.32998,0.9514,0.0064954,0.0064954,0.0064954
179,48167.5,1.03456,0.41687,0.9575,0.99263,0.99007,0.994,0.75214,0.96139,0.32996,0.9512,0.0064756,0.0064756,0.0064756
180,48436.6,1.03184,0.41476,0.95694,0.99279,0.99019,0.99404,0.75276,0.9608,0.32978,0.95104,0.0064558,0.0064558,0.0064558
181,48706,1.02984,0.41397,0.95524,0.99268,0.98987,0.99405,0.75332,0.9597,0.32941,0.95077,0.006436,0.006436,0.006436
